,name,name:en,inscription,geometry
7022,обеліск Скорботної Матері,,,POINT (24.0879103 50.751013)
7023,Небесна сотня,,Герої не вмирають!,POINT (26.240274 50.6200732)
7024,Реабілітаційний центр бурого ведмедя,Bear rehabilitation center,,POINT (23.6557057 48.5552659)
7025,Братська могила й монастырське кладовище,,,POINT (37.375312 48.6710944)
7026,"Місце, де купався відомий рабин Баал Шев Това",,,POINT (25.1725789 48.2066666)
7027,Гетьману Петру Сагайдачному,,,POINT (31.3301806 49.9719499)
7028,"Рівнянам, дослідникам Антарктиди",,"Боротися і шукати, знайти і не здаватися.",POINT (26.2581388 50.6149808)
7029,"Пам'ятник воїнам, полеглим у Великій Вітчизняній війні",,,POINT (30.6305389 46.5438373)
7030,Мис Сакен,,,POINT (31.9029805 46.6614892)
7031,Витік річки Уж (немає води),,,POINT (22.9136959 48.9671638)
7032,Танк Т-34,,,POINT (35.4526146 49.3720454)
7033,М. М. Аркасу,,"На цьому місці стояв будинок, у якому жив і працював Микола Миколайович Аркас /1868—1909/ Український композитор, історик, просвітитель, автор «Історії України-Русі», опери «Катерина», засновник миколаївської «Просвіти».",POINT (31.9954343 46.9745683)
7034,Воїнам-визволителям,,,POINT (33.3891311 51.5485994)
7035,В пам'ять про вбитих патріотів,,"Тут, за стінами рівненської в'язниці, у 4-50 р.р. більшовицьким та нацистським режимами було замордовано тисячі українських патріотів. Вічна пам'ять загиблим.",POINT (26.2584464 50.6185192)
7036,Першим механізаторам колгоспу,,,POINT (25.8359331 48.6238178)
7037,Шефатов Олександр 1943,Shefatov Oleksandr 1943,,POINT (30.2048975 50.8320043)
7038,БРДМ-2,,,POINT (34.5892217 45.0589566)
7039,Воин-мира,,,POINT (34.5960194 45.0580244)
7040,Воинам Авганцам,,,POINT (34.5957074 45.0581146)
7041,Памятник погибшим во время Второй Мировой Войны,,,POINT (33.6130968 45.5007472)
7042,Памятник С.В. Кирову,,,POINT (33.6119875 45.4998672)
7043,Воину-освободителю,,,POINT (33.6118597 45.4994173)
7044,25-й річниці Незалежності України,,,POINT (34.7103998 50.8814173)
7045,Микола Приходько,,"ГЕРОЙ
РАДЯНСЬКОГО СОЮЗУ
ПРИХОДЬКО МИКОЛА ТАРАСОВИЧ
1920-1943 - диверсант-розвідник партизанського загону Мєдвєдєва часів радянсько-німецької війни (1941-1945рр). Кур'єр особливого призначення. Зв'язковий Миколи Кузнєцова на Рівненщині до 1943 року.",POINT (26.2578399 50.5280204)
7046,С. О. Макарову,,"В этом доме 8 января 1849 г. родился выдающийся русский флотоводец, адмирал Макаров Степан Осипович (1849—1904)",POINT (31.97368 46.9748426)
7047,Загиблим при захисті мосту 1946,,,POINT (33.4238766 49.0457302)
7048,Вічна слава героям полеглим у боротьбі за Батьківщину,,,POINT (24.2909002 51.4569092)
7049,Пам'ятник невідомому солдату,,,POINT (24.5983902 48.3949566)
7050,Місто засновано в 1390 році,The city was founded in 1390,,POINT (29.6628278 49.7337341)
7051,Иван Дурак и Царевна-лягушка,,,POINT (35.9527415 49.925253)
7052,Пам'ятник загиблим воїнам,,,POINT (24.9100206 49.0186426)
7053,Пам'ятник Тарасу Шевченку,,,POINT (24.9195536 49.0338262)
7054,Універсал-2,,,POINT (34.1804211 46.479032)
7055,ЗіС-5,,,POINT (29.6697958 49.7388921)
7056,Н.Н. Раевскому и А.С. Пушкину,,,POINT (33.5095234 44.5056506)
7057,Г. О. Потьомкіну,,"Князь Григорий Александрович Потёмкин-Таврический, генерал-фельдмаршал, основатель города Николаева / 1739—1791 /",POINT (31.9594651 46.9749338)
7058,М.Кропивницькому,,,POINT (32.1634338 48.0552275)
7059,Військовий меморіал,,,POINT (32.1638683 48.0541159)
7060,Пам’ятник героям та патріотам України,,,POINT (32.1656359 48.0572192)
7061,Пам'ятник радянським артилеристам,,,POINT (32.16653 48.0677201)
7062,Паркова скульптура,,,POINT (32.1623078 48.0554325)
7063,Меморіал,Heavenly Hundred Heroes Memorial,,POINT (24.0340045 49.8449988)
7064,Меморіал Вічної Слави воїнам ВВВ,,,POINT (25.618088 49.3415514)
7065,Пам'ятник воїнам-таїровцям,,,POINT (30.6473447 46.3603558)
7066,Героям Чорнобиля,,,POINT (28.8401756 49.7179907)
7067,Тарас Шевченко,,,POINT (26.8579348 50.2966802)
7068,Жертвам голодомору,,,POINT (27.203789 49.7548392)
7069,Ленин,,,POINT (33.3387355 45.1771462)
7070,Ленин,,,POINT (33.5164831 45.1456167)
7071,Ленин,,,POINT (33.3700471 45.1881403)
7072,Перевал Пересліп,Pereslip pass,,POINT (24.4673065 48.4453787)
7073,"Скорботний ангел, присвячений жертвам голодомору 1932 – 1933 років",,,POINT (30.9517276 46.8231747)
7074,будинок Й. Дерибаса,,"У цьому будинку, збудованому за власні кошти, в 1792—1794 рр. жив відомий російський військовий та державний діяч, перший будівничий одеського порту та м. Одеси, адмірал Йосиф Дерибас",POINT (31.9839601 46.9771275)
7075,К. Х. Кнорре,,У цьому будинку в 1827—1871 рр. жив та працював перший директор Миколаївської астрономічної обсерваторії Кнорре Карл Христофорович,POINT (31.9730463 46.9729)
7076,Пам'ятник Сікорському,,,POINT (30.4441347 50.4129345)
7077,В. В. Маяковський,,,POINT (37.5449481 47.0892395)
7078,К. А. Тімірязєв,,,POINT (37.5449501 47.0890964)
7079,О. С. Попов,,,POINT (37.5449521 47.0889532)
7080,І. П. Павлов,,,POINT (37.5449561 47.0886641)
7081,О. С. Пушкін,,,POINT (37.5449581 47.0885184)
7082,Д. І. Менделєєв,,,POINT (37.5449619 47.0882507)
7083,А. М. Горький,,,POINT (37.5450404 47.0892401)
7084,М. Г. Чернишевський,,,POINT (37.5450424 47.089097)
7085,М. В. Ломоносов,,,POINT (37.5450444 47.0889538)
7086,І. В. Мічурін,,,POINT (37.5450485 47.0886647)
7087,В. Г. Бєлінський,,,POINT (37.5450505 47.088519)
7088,Л. М. Толстой,,,POINT (37.5450542 47.0882513)
7089,А.С. Макаренко,,,POINT (34.2721644 51.1422474)
7090,залишки памятника Леніну,,,POINT (31.0460275 49.0097544)
7091,Ліквідаторам ЧАЕС,,,POINT (34.3104798 51.1488771)
7092,Архангел Михаїл,,,POINT (34.3104288 51.1486264)
7093,Пам'ятник Т.Г. Шевченко,,,POINT (34.3119416 51.148061)
7094,Пам'ятник воїнам-інтернаціоналістам,,,POINT (34.3123814 51.1483403)
7095,Пам'ятник з нагоди 130-річча О.Олеся,,,POINT (34.3168259 51.1508809)
7096,Будинок О.Олеся,,В цьому будинку 5 грудня 1878 року народився український поет Олександр Олесь /Кандиба Олександр Іванович/,POINT (34.3206433 51.1510443)
7097,"Трактор ""Універсал-2""",,,POINT (33.9322132 48.6778706)
7098,Шевченку Т.Г.,,,POINT (33.9306146 48.6777643)
7099,Пам'ятник альпіністам,,,POINT (30.7720043 46.4421688)
7100,Старе єврейське кладовище XVIII-XIX ст.,,,POINT (25.1529972 50.0794534)
7101,Олександр Білаш,,"""Два кольори мої, два кольори"". Яка б не гріла груди позолота, серед своїх найвищих нагород вважаю пісню, вигойдану в нотах, що заспівав її народ. Герой України, композітор, поет Олександр Білаш",POINT (30.5186009 50.4466799)
7102,Амбарцумян Григорій Микитович,,"У цьому будинку з 1946-1972 р. р. жив Амбарцумян Григорій Микитович (18.03.1909-03.01.1973) учасник бойових дій та ветеран Другої світової війни. Все життя він відбудовував Київ, зруйнований під час війни.",POINT (30.518732 50.4469805)
7103,Монумент скорботної матері,,,POINT (24.8834523 48.9532731)
7104,Пам'ятник Григорівському десанту,,,POINT (31.00199 46.5978866)
7105,Меморіал Бойової Слави,,,POINT (30.1476694 49.2951079)
7106,Памятник воинам-освободителям Константиновки,,,POINT (37.7271512 48.5136462)
7107,Загиблим морякам,In the memory of dead sailors monument,,POINT (34.9996777 46.1039523)
7108,Пам'ятна дошка загиблим від російської агресії в 2014-2016 роках,,"Слава Україні! Героям слава!
Вічна пам'ять героям Славутчини, які віддали своє життя за незалежність України",POINT (26.8656992 50.2957211)
7109,В память загиблих радянських воїнів у Другій Світовій війні,,"1941-1945
Пам'яті полеглих воїнів-славутчан",POINT (26.8650259 50.2962489)
7110,Меморіал загиблим у Другій Світовій Війні воїнам,Second World War victims memorial,,POINT (28.825699 49.7018184)
7111,"Стела ""Южний""",,,POINT (31.0969462 46.6364496)
7112,Пам'ятник Тарасові Шевченку,,,POINT (31.0968283 46.6221698)
7113,Іванові Франку,Ivan Franko,"І.Я. ФРАНКО
1856 -1916",POINT (23.5087887 49.2758511)
7114,"Романові Різняку - ""Макомацькому""",,,POINT (23.5067283 49.2754611)
7115,Памянтник героям великой отечественной войны,,,POINT (38.2215091 48.5257425)
7116,Меморіал Великої Вітчизняної війни,,,POINT (24.5701199 48.6313156)
7117,Меморіал Вічної Слави воїнам ВВВ,,,POINT (25.5480942 49.2967882)
7118,Знання це сила,,,POINT (33.0751313 48.6737357)
7119,"Засновникам ""Подільського Артеку""",,,POINT (29.1773204 48.7053414)
7120,Як-38у,,,POINT (33.5270307 44.6274006)
7121,Меморіал Вічної Слави воїнам ВВВ,,,POINT (25.7398971 49.7876403)
7122,В. И. Ленин,,В.И.Ленин 1870-1924,POINT (33.9973667 44.4028402)
7123,Пам'ятник С. Пушику,,Степан Пушик,POINT (24.6998148 48.9150386)
7124,Монумент Майдану,Maidan memorial,,POINT (24.034141 49.8450564)
7125,Пам'ятник Пресвятій Родині,,,POINT (24.6760321 48.9083554)
7126,Княжичі Василько та Данило,,,POINT (24.3159048 50.845817)
7127,В. А. Дегтярёву,,Улица названа в честь 40-летия Победы в Великой Отечественной войне именем летчика гвардии - майора Героя Советского Союза Дегтярёва Владимира Арсентьевича,POINT (33.5974647 45.1362913)
7128,Мирославові Старицькому,,,POINT (26.2024031 48.8506527)
7129,Гречанка,,,POINT (35.1544046 44.9368611)
7130,Памятник ВВВ,,Памятник загиблим воїнам ВВВ,POINT (29.2558404 49.4866723)
7131,Монумент партизанської слави,,,POINT (33.7316215 51.3730604)
7132,П'ять багнетів,,,POINT (33.7657043 51.3635474)
7133,Пам'ятник солдатам ВВВ,,,POINT (33.0735452 51.8246506)
7134,Пам'ятник солдатам ВВВ,,,POINT (33.0625563 51.7983046)
7135,Божа Мати Покрови Пресвятої Богородиці,,,POINT (28.6479622 50.95031)
7136,Пам`ятник тризубу,,,POINT (28.6354954 50.9569126)
7137,Пам`ятник,,,POINT (29.2836112 50.597483)
7138,Пам`ятник Героям чорнобильської трагедії,,,POINT (29.2875577 50.5941048)
7139,Сергей Павлович Королёв,,,POINT (30.7196698 46.484748)
7140,Героям Великой Отечественной Войны,,,POINT (34.0111861 44.7242411)
7141,Чехословацьким воякам які загинули в Рівному,,,POINT (26.229362 50.6226106)
7142,О. Парубку,,,POINT (30.318485 49.2443524)
7143,Пам'яний знак,,,POINT (23.3988712 49.5043834)
7144,Тарасові Шевченку,,,POINT (23.8557996 49.6492208)
7145,"Меморіал ""Полеглим за Батьківщину""",,,POINT (30.7078378 46.5577329)
7146,Cоветским воинам,,,POINT (34.3213881 44.5924637)
7147,Пам'ятний камінь з кар'єра Орлик,,,POINT (34.2743177 48.7636064)
7148,Борцям за волю України,Fighters for the will of Ukraine,"Борцям за волю України .
Вдячні ямничани .
Пам'ятник встановлено в честь 50-річчя УПА .",POINT (24.7065058 48.9930072)
7149,Меморіал загиблим в II світовій війні,,,POINT (36.5429589 50.0014266)
7150,Цвинтар,,,POINT (28.9427368 51.2375378)
7151,Памятник загиблим у війні в Афганістані,,,POINT (30.2187894 48.7468361)
7152,Пам'ятник Воїнам-односельцям,,,POINT (29.7661598 51.3189952)
7153,Пам'ятник воїну-визволителю,,,POINT (29.7518263 51.3218935)
7154,Солдат,,,POINT (29.7518975 51.3218446)
7155,Суворов,,,POINT (31.0966462 46.7213362)
7156,стелла Дружби Народiв,,,POINT (31.284702 51.5012601)
7157,Одуха Антон Захарович,,,POINT (26.8656786 50.2929375)
7158,Одуха Антон Захарович,,,POINT (26.8744308 50.3034056)
7159,Гривня,,,POINT (27.6200439 49.3816846)
7160,Я♥Летичів,,,POINT (27.6207757 49.3819202)
7161,Тарасові Шевченку,,,POINT (23.1958974 49.5178691)
7162,Братська могила розстріляних євреїв,Jewish Mass Grave,В цьому місці загинули 800 євреїв жителів Серник та околиць. Вони були розстріляні німецькими фашистами під час II Світової війни в 1942 р.,POINT (26.2253262 51.8315568)
7163,Братська могила розстріляних євреїв,Jewish Mass Grave,В цьому місці загинули 120 євреїв-жителів Серник та околиць. Вони були розстріляні німецькими фашистами під час II Світової війни в 1941 році,POINT (26.2122698 51.8223847)
7164,Рубіж мужності,Frontier of courage,,POINT (29.4367722 50.3742942)
7165,"Пам'ятник воїнам, загиблим у Великій Вітчизняній війні",,,POINT (30.6094723 46.5596176)
7166,Дрезина,,,POINT (26.2957858 51.3108542)
7167,Тепловоз ТУ6,,,POINT (26.2955859 51.3108559)
7168,Голови Ленінів,,,POINT (27.7952197 50.8717847)
7169,В пам'ять про загиблих євреїв в 1941 році.,,,POINT (25.9137482 48.3097668)
7170,Братська могила,,"Братська могила 28 воїнів 322 стрілкової дивізії, що загинули при звільненні селища Пісківка 10 листопада 1943 року",POINT (29.5977443 50.7008943)
7171,Воинам русским и французским павшим на Малаховом кургане,,,POINT (33.5475683 44.6058521)
7172,Героям-летчикам,,,POINT (33.5471995 44.6056907)
7173,Коммандный пункт артиллерийской батареи,,,POINT (33.5490194 44.6045411)
7174,Склад боезапасов 1-го орудия,Ammunition store of the 2nd gun battery Matyukhina,,POINT (33.548786 44.604417)
7175,Маркіян Шашкевич,,,POINT (24.903048 49.8072992)
7176,ВВВ,,,POINT (27.6866251 51.2607853)
7177,В пам'ять євреїв Луцька,In memory of the Jews of Lutsk,"Головна синагога, зведена за привілеєм короля Сигізмунда III стараннями багаточисельної єврейської громади міста Луцька на початку XVII ст. ... пам’ять про десятки тисяч євреїв Луцького гетто, знищених фашистами в 1942 р.",POINT (25.3186508 50.7359024)
7178,В пам'ять євреїв-в'язнів робітничого табору,In memory of the Jewish prisoners of the labor camp,"На цьму місці 12 грудня 1942 року нацистами було вбито близько 500 євреїв-ремісників м. Луцька, що повстали в гетто проти окупантів. Вічна пам’ять загиблим.",POINT (25.3389155 50.7453593)
7179,Меморіал воїнам-визволителям 1941-1945 р.,,,POINT (30.5473355 46.59203)
7180,Ярослав Мудрий,,,POINT (34.7907332 50.9107514)
7181,Загиблим у Великій Вітчизняній Війні,,,POINT (29.3920873 51.2422262)
7182,В пам'ять розстріляних євреїв,Memorial for the murdered Jews,Здесь в 1942 г оккупанты расстреляли 1270 наших земляков. Вечная память жертвам фашизма,POINT (27.5608624 50.1723124)
7183,Братська могила розстріляних євреїв,Jewish Mass Grave,На цьому місці було жорстоко знищено фашистами єврейське населення Полонщини в вересні 1941 року,POINT (27.5027114 50.1504943)
7184,Братська могила розстріляних євреїв,Jewish Mass Grave,Здесь в 1942 г оккупанты расстреляли 1270 наших земляков. Вечная память жертвам фашизма,POINT (27.523359 50.141185)
7185,ЗіС-5,,Воїнам-водіям від вдячних межевчан,POINT (36.7054939 48.3896459)
7186,Пам'ятник Богдану Хмельницькому,,,POINT (25.6416706 48.0863439)
7187,Тарасу Шевченку,,,POINT (30.5206505 50.4511328)
7188,Братська могила воїнів,,,POINT (31.2156731 50.3150068)
7189,Пам'ятник Т.Г. Шевченку,,,POINT (33.7229027 49.7909037)
7190,Пам'ятник кобзареві Ф. Д. Кушнерику,,,POINT (33.722841 49.7910231)
7191,Арка,,,POINT (31.2912681 51.4934222)
7192,М.В. Ломоносов,,М.В. Ломоносов,POINT (36.3393707 49.9926115)
7193,Пам'ятник загиблим солдатам,,"Пам'ятник воїнам-односельчанам, полеглим в Другій світовій війні.",POINT (27.840587 51.1540476)
7194,Могила С.К. Тура,,Семен Кіндратович Тур (1908-1943) – командир партизанського загону.,POINT (27.8404269 51.1539019)
7195,Пам’ятний знак на честь заснування міста,,"Встановлений 9 жовтня 2008 року на території Хорольського агропромислового коледжу по вул. Небесної Сотні, 73.",POINT (33.2634557 49.7802529)
7196,Тарас Шевченко,Taras Shevchenko,,POINT (25.3029191 50.69717)
7197,Обеліск Слави,,,POINT (29.990776 48.7716342)
7198,Пам'ятник Івану Богуну,,,POINT (29.8076401 48.9951759)
7199,В пам'ять в'язнів бувшого єврейського гетто,In memory of prisoners of the former Jewish ghetto,"На цій вулиці в 1942 році знаходилось гетто, в’язні якого були розстріляні на західній околиці м. Сарни",POINT (26.6108584 51.3377742)
7200,пам'ятник Т Г Шевченко,,,POINT (25.1433781 49.4324338)
7201,Божена Антоневич,,,POINT (24.6989417 48.9244438)
7202,о. Іван Луцький,,,POINT (24.7110214 48.9153892)
7203,Андрій Витвицький,,,POINT (24.7162571 48.9209379)
7204,Стела Героїв,,,POINT (33.3862815 47.9069155)
7205,Перемога,,,POINT (33.3838463 47.9060072)
7206,Пам’ятник загинувшим воїнам АТО,,,POINT (33.3858713 47.9067093)
7207,В пам'ять розстріляних євреїв,Memorial for the murdered Jews,"В концтаборі с. Сказинці у 1941-1943 р.р. були розстріляні фашистськими катами та загинули від голоду, холоду і хвороб тисячі безвинних євреїв з Могилів-Подільщини, Буковини та Бесарабії.",POINT (27.8929487 48.4934806)
7208,Братская могила воинов ВОВ,,,POINT (34.9541679 50.6074806)
7209,Осінь,,,POINT (25.7446656 50.4185686)
7210,Весна,,,POINT (25.7449874 50.4184361)
7211,Зима,,,POINT (25.7449271 50.4185899)
7212,Літо,,,POINT (25.7446977 50.4184199)
7213,Якір,,,POINT (35.4525349 49.3718966)
7214,Хлопчика з чемоданом,,,POINT (25.7288573 50.4191514)
7215,Граніт науки,,,POINT (34.5662714 49.5770705)
7216,"Жителям села, які загинули від голодомору 1931-32рр",,,POINT (31.0873202 49.0101987)
7217,"Братська могила воїнів, які загинули на території села у війні 1941-45рр",,,POINT (31.0858575 49.0074008)
7218,місце загибелі О.Лосевої (перепоховано в братську могилу)),,,POINT (31.0505998 49.0257909)
7219,братська могила,,,POINT (31.0768912 49.2609046)
7220,МіГ-21,,,POINT (30.5988621 50.422662)
7221,Братська могила,,,POINT (31.0268159 49.0058653)
7222,місце поховання жертв голодомору 1932-33рр,,,POINT (31.0256112 49.005249)
7223,"Трактор ""Універсал-2""",,,POINT (26.8651821 50.292575)
7224,Меморіал 2-й Світовій Війні,,,POINT (27.117965 50.2369588)
7225,"Пам'ятний знак загиблим в авіакатастрофі (АН-10, 18.05.1972 р.)",,"АН-10, 18.05.1972.",POINT (36.3481156 50.1529176)
7226,Праведникам народів світу,To the Righteous Among the Nations,,POINT (23.5055077 49.3472147)
7227,Чапаеву,,,POINT (33.6016685 44.6171931)
7228,Остапу Вересаю,,Кобзарям України від вдячних нащадків,POINT (32.7585188 50.6653716)
7229,Леонарду Бернстайну 1918-1990,,До I світової війни на цій вулиці мешкали батьки та родичі видатного американського диригента та композитора Леонарда Бернстайна,POINT (26.2487361 50.6225191)
7230,Пам'ятник Невідомому солдату,,,POINT (30.4181578 50.6237722)
7231,Генерал армії Ватутін М.Ф.,,,POINT (30.4199268 50.6248508)
7232,Автоэкспонаты,,,POINT (33.4072714 44.5594467)
7233,Военная техника,,,POINT (33.4062575 44.5599384)
7234,Бик,,,POINT (35.6058288 48.4947412)
7235,Дошка пам’яті загиблим рівнянам в зоні АТО та під час Революції гідності,,Слава Героям Героям Слава,POINT (26.2500928 50.6190342)
7236,ІС-3,,,POINT (26.2957735 50.616945)
7237,ІС-2,,,POINT (26.2957449 50.6173112)
7238,ІСУ-152,,,POINT (26.2964079 50.6171841)
7239,СУ-100,,,POINT (26.2964342 50.6173945)
7240,ІС-3,,,POINT (26.2957854 50.617741)
7241,Танк на могилі комдива М. М. Богомолова,,1897-1940 Михайло Михайлович Богомолов.,POINT (26.2278349 50.6200583)
7242,Пам'яті невинних жерв вірменського та українського народів,,,POINT (26.2557707 50.6240071)
7243,Паротяг Mt-202,,,POINT (29.8675275 48.3399054)
7244,Паротяг 9П-18412,,,POINT (37.5634155 47.1640278)
7245,Паротяг 9П-19497,,"17 квітня 1973 на заводі ""Криворіжсталь"" загасили останній паротяг",POINT (33.4400996 47.8830558)
7246,Паротяг 9П-2175,,,POINT (34.6150934 48.5264867)
7247,Паротяг 9П-260,,,POINT (35.1916181 47.8721271)
7248,Паротяг 9П-285,,,POINT (34.9417629 48.4782609)
7249,Паровоз 9П-388,,,POINT (37.8065167 47.9794601)
7250,Паротяг 9П-389,,,POINT (37.7445507 48.0439395)
7251,Паротяг 9П-460,,,POINT (23.9879501 49.8396467)
7252,Паротяг 9П-749,,,POINT (36.2051241 49.9920683)
7253,"Пам'ятник воїнам, загиблим у Великій Вітчизняній війні",,,POINT (30.6460885 46.2887122)
7254,Паротяг Гр-???,,,POINT (32.5160551 47.6896479)
7255,Паротяг Гр-286,,,POINT (23.7066756 48.4230374)
7256,Паротяг К157-76,,,POINT (30.299191 50.3168787)
7257,Паротяг Л-1831,,,POINT (37.7446283 48.0441502)
7258,Паротяг ЛВ-0407,,,POINT (37.7444863 48.0439759)
7259,Паротяг СО17-1900,,,POINT (36.2823567 49.9715103)
7260,Паротяг СО17-2327,,,POINT (36.2466724 49.9313467)
7261,Паротяг СО17-3146,,,POINT (37.7451193 48.0444977)
7262,Паротяг Су-252-21,,,POINT (37.7443866 48.0438079)
7263,Паротяг Су-216-32,,,POINT (31.8951818 49.2025214)
7264,Паротяг Су-251-27,,,POINT (28.1078849 49.0359498)
7265,Паротяг Су-252-25,,,POINT (24.7120857 51.220432)
7266,Паротяг ТЭ-6115,,,POINT (37.744879 48.0443496)
7267,Паротяг ФД20-2238,,,POINT (36.2063031 49.9788579)
7268,Паротяг ФД20-1393,,,POINT (38.4048293 48.3368114)
7269,Паротяг ФД20-2560,,,POINT (36.20465 49.9921183)
7270,Паротяг ФД20-2714,,,POINT (37.7443956 48.0440174)
7271,Паротяг Ь-2062,,,POINT (37.7447014 48.0439833)
7272,Паротяг Ем 708-89,,,POINT (34.9697748 50.4815809)
7273,Паротяг Эм 722-81,,,POINT (37.7446736 48.0441241)
7274,Паротяг Ем 725-24,,,POINT (37.6405659 49.6864556)
7275,Паротяг Ем 733-08,,,POINT (32.4597989 50.1177708)
7276,Паротяг Эм 733-69,,,POINT (33.4536676 47.9113776)
7277,Паротяг Ем 734-24,,,POINT (38.1881251 47.9307059)
7278,Паротяг Ем 736-17,,,POINT (32.8320611 51.1861883)
7279,Паротяг Ем 740-44,,,POINT (38.1028671 48.296245)
7280,Паротяг Эр 716-17,,Комсомольский паровоз Павел Морозов,POINT (34.9682745 50.4829874)
7281,Паротяг Эр 760-73,,,POINT (37.4912224 47.6017811)
7282,Паротяг Эр 760-94,,,POINT (37.9550307 48.0634698)
7283,Паротяг Ер 761-01,,,POINT (37.8065641 48.9716926)
7284,Паротяг Эр 766-26,,,POINT (31.4073234 48.2402907)
7285,Паротяг Эр 772-22,,,POINT (36.261429 47.4764263)
7286,Паротяг Ер 774-11,,,POINT (34.5952366 49.5775416)
7287,Паротяг Эр 774-40,,,POINT (36.2047788 49.9920541)
7288,Паротяг Ер 786-87,,,POINT (35.1377349 48.4825898)
7289,Паротяг Ер 799-02,,,POINT (33.7298479 51.3735077)
7290,Паротяг Ер 799-82,,,POINT (25.9508563 48.3006386)
7291,Паротяг Эр 799-95,,,POINT (37.4883872 47.5995898)
7292,Паротяг Еу 683-21,,,POINT (32.6889277 48.7110698)
7293,Паротяг Эу 677-49,,,POINT (36.199753 49.9992789)
7294,Паротяг Еу 684-37,,,POINT (37.5559888 48.829302)
7295,Паротяг Эу 714-37,,,POINT (37.7448335 48.0442582)
7296,Т. Г. Шевченко,,,POINT (38.2188518 49.0449179)
7297,Просвіті,,Просвіта,POINT (26.2569935 50.6169128)
7298,Євреям с. Солотвино загибмлим під час Голокосту,,,POINT (23.8752858 47.9466948)
7299,"Памятник воинам-односельчанам, погибшим в борьбе против гитлеровцев.",,,POINT (34.3210293 45.6132707)
7300,Частина паротяга Л-0132,,,POINT (31.9396327 51.8171076)
7301,Частина паротяга СО18-2117,,,POINT (33.4670733 50.7504378)
7302,Макет паротяга Кп-4-468,,,POINT (33.4319387 46.7594288)
7303,Бронепаротяг Ов-3818,,,POINT (30.7222128 46.37438)
7304,Дизель-потяг ДР1А-129,,,POINT (36.2040626 49.9929767)
7305,Тепловоз 2М62-1064,,,POINT (36.246584 49.9314182)
7306,Тепловоз 2М62-1155,,,POINT (36.2039515 49.9929816)
7307,Тепловоз 2ТЕ121-001,,,POINT (37.8065245 48.9718784)
7308,Електровоз ВЛ8-313,,,POINT (37.8065379 48.971801)
7309,Вагон-салон,,,POINT (36.2047035 49.9922757)
7310,Електровоз ВЛ22М-572,,,POINT (36.2045774 49.9923447)
7311,ГАЗ-69,,,POINT (36.2046471 49.9924774)
7312,Автобус «Чернігів»,,,POINT (36.2046015 49.9927206)
7313,"Ніса (Фургон, експонат)",,,POINT (36.204615 49.9926602)
7314,Тепловоз ТЭ10-006,,,POINT (36.2045211 49.992555)
7315,Вагон НТВ (тормозний),,,POINT (36.2050709 49.9921429)
7316,Кран МК6-885,,,POINT (36.2049878 49.9922843)
7317,Тепловоз ТГК2-7933,,,POINT (36.204918 49.9923912)
7318,Автомотриса АС1А-3311,,,POINT (36.2052211 49.9920774)
7319,Автодрезина ДМС № 154,,,POINT (36.2051836 49.9921481)
7320,Кран АГМу-10368,,,POINT (36.2051273 49.9922395)
7321,Вагон-електростанція,,,POINT (36.2050495 49.9923429)
7322,Патформа бортова,,,POINT (36.2049663 49.9924809)
7323,Кран EDK25-104,,,POINT (36.2048966 49.9925826)
7324,Спецтехніка ВПО3000-19505999,,,POINT (36.2048242 49.9928671)
7325,Спецтехніка ЩОМ4М-27,,,POINT (36.2050414 49.9925274)
7326,Спецтехніка ВПР1200-096,,,POINT (36.2051943 49.9922843)
7327,Тепловоз ТГМ1-1722,,,POINT (37.5755627 47.1476726)
7328,Тепловоз ЧМЭ5-0008,,,POINT (37.74466 48.0439464)
7329,Тепловоз ТЭЗ-7643,,,POINT (37.7446117 48.0438979)
7330,Тепловоз ТГМ9-0001,,,POINT (37.7445366 48.0438424)
7331,Тепловоз ТГМ23Б-3390,,,POINT (37.7444615 48.0437778)
7332,Вагон РБЛ,,,POINT (37.7447699 48.0441346)
7333,Вагон цистерна,,,POINT (37.7447514 48.0443011)
7334,Нормальний товарний вагон,,,POINT (37.7448485 48.0443615)
7335,Електровоз ВЛ60ПК-001,,,POINT (37.7451025 48.0444162)
7336,Тепловоз ТУ4-2822,,,POINT (37.7449765 48.0444736)
7337,Тепловоз ТУ2-040,,,POINT (37.7450543 48.0445471)
7338,Тепловоз ТУ7-2734,,,POINT (37.7450194 48.044504)
7339,Вагон вузькоколійний,,,POINT (37.7452155 48.0445783)
7340,Електровоз ЧС2-357,,,POINT (36.204026 49.9927526)
7341,Електропотяг ЕР2-33609,,,POINT (36.2041172 49.9927854)
7342,Електропотяг Ср3-1524,,,POINT (36.2039804 49.9932044)
7343,Тепловоз ТЭП60-1078,,,POINT (36.203865 49.9932509)
7344,ЧМЭ3-919,,,POINT (30.4879766 50.4386225)
7345,Критий вагон,,,POINT (30.4877022 50.4392634)
7346,Спецтехніка ЗУБ,,,POINT (30.4878422 50.4391526)
7347,Електровоз ЧС4-072,,,POINT (30.4873524 50.4393715)
7348,Патформа бортова,,,POINT (30.4871991 50.4395665)
7349,Автодрезина монтажна службова № 245,,,POINT (30.4871155 50.439679)
7350,Ручна дрезина,,,POINT (30.487047 50.4397657)
7351,Вагон-салон № 70303,,,POINT (30.4872602 50.4396363)
7352,Вагон-шляховимірювач вузькоколійний,,,POINT (30.4875494 50.4396408)
7353,Сталінець С-100,,,POINT (30.487457 50.439735)
