,name,name:en,inscription,geometry
3322,Памятник Герою Советского Союза снайперу Татьяне Игнатовне Костыриной,,,POINT (36.3737567 45.1508668)
3323,Партизанский аэродром на «Малая площадка»,,,POINT (34.4411264 44.8708098)
3324,Освобождение Судака,,,POINT (34.9732039 44.8610371)
3325,Памятник ВОВ,,,POINT (34.0783687 44.9697272)
3326,Работникам Крымской милиции,,,POINT (34.1035304 44.9563807)
3327,Памятник партизанам,,,POINT (34.1657285 44.8303329)
3328,Трамвайный вагон Gotha 1957г.,,,POINT (33.3877645 45.1991455)
3329,Погибшим землякам в ВОВ,,,POINT (34.5551593 44.7543736)
3330,Братская могила,,,POINT (34.5552339 44.7555295)
3331,Памятник павшим партизанам Старого Крыма,,,POINT (34.8549807 44.9435909)
3332,"Братская могила партизан Старокарантинских каменоломен, 1941 г.",,,POINT (36.4215539 45.2918058)
3333,"Памятный знак жителям солепромысла «Соляного», невернувшимся с войны 1941-1945 годы",,,POINT (35.4147833 45.325433)
3334,Советским авиаторам,,,POINT (34.4041045 45.7035158)
3335,Памятник землякам погибшим в ВОВ,,,POINT (34.0462959 44.8831648)
3336,Памятник бою ВОВ,,,POINT (33.6664558 44.5329109)
3337,Памятник погибшему радисту,,,POINT (34.0447682 44.4954943)
3338,Место массовых расстрелов советских граждан 1941-1943 гг,,,POINT (34.2073144 45.0128904)
3339,Место убийства игумена Парфения,,,POINT (35.0398345 44.9243689)
3340,Павлу Силаеву,,,POINT (33.4080398 44.5669057)
3341,Погибшему лётчику,,,POINT (34.0996511 45.5776803)
3342,Беширову С.Е.,,,POINT (35.0831832 44.9277515)
3343,Стоянка 5-го отряда 3 бригады Восточного соединения партизан,,,POINT (35.0805667 44.9739167)
3344,Партизанская шапка,,,POINT (34.3420417 44.8066028)
3345,Партизанская застава,,,POINT (34.7463337 44.9124279)
3346,Т-34-76,,,POINT (33.5341117 44.5937269)
3347,Стевенам,,,POINT (34.1321005 44.9447517)
3348,могила Максима Богдановича,,,POINT (34.1339007 44.4893198)
3349,Здесь снимался фильм «Дикая собака Динго»,,,POINT (35.76427 45.38283)
3350,Памятник Галине Перемещенко,,,POINT (35.7645221 45.2936365)
3351,Братская могила,,,POINT (35.766457 45.2928563)
3352,Памятник В. И. Ленину,,,POINT (35.7737926 45.2957926)
3353,Памятник воинам-интернационалистам,,,POINT (35.7729684 45.295145)
3354,Памятник генерал-лейтенанту В. Н. Львову,,,POINT (35.6566632 45.2864029)
3355,Святійшому Володимиру,,"Святійший Володимир, Патріарх Київський і всієї Руси України (9.XII.1925-14.Vii.1995)",POINT (25.5926602 49.5504937)
3356,Святійшому Мстиславу,,"Святійший Мстислав, Перший Патріарх Київський і всієї України Української Автокефальної Православної Церкви (10.IV.1898 р. – 11.VI.1993 р.). Почесний громадянин Тернополя. Відслужив Св. Літургію 7.XI.1990 р. в церкві Різдва Христового.",POINT (25.5926598 49.5504787)
3357,Святому князю Володимиру,,Святий князь Володимир. З нагоди 1025 р. хрещення Русі України. 988 р. 2013 р.,POINT (25.5926614 49.5505499)
3358,Митрополиту Липківському,,Митрополит Василь Липківський. До 2000-ліття Різдва Христового ісповідникам і новомученикам УАПЦ,POINT (25.5925286 49.5506638)
3359,Жертвам Голодомору,,Жертвам Голодомору (1932-1933).,POINT (25.5923806 49.5506667)
3360,Тарасові Шевченку,,,POINT (22.9977288 49.4337924)
3361,В. И. Ленину,,,POINT (34.4106544 44.6852779)
3362,Соломії Крушельницькій,,В цьому буд нку з 1903 по 1952 рік проживала видатна українська співачка Соломія Крушельницька.,POINT (24.0197603 49.8367766)
3363,Меморіал Жертвам Холокосту,Holocaust Memorial,Holokaust. Ніколи більше… Никогда больше…,POINT (30.724333 46.4726496)
3364,Пам'ятний камінь Жертвам Холокосту,,"Помнить во имя будущего! С этого места началась дорога смерти для десятков тысяч евреев г. Одессы, угнанных и уничтоженных нацистами в декабре 1941 г. на территории лагеря «Богдановка» в Николаевской области",POINT (30.7237951 46.4720253)
3365,Христо Ботєву,,,POINT (30.7259788 46.4731016)
3366,"Ерзац-танк (бронетрактор) ""НІ""",,,POINT (30.7193669 46.4739489)
3367,Л. Толстой,to Lev Tolstoy,,POINT (30.7236242 46.4794923)
3368,Пам'ятник О. М. Ляпунову,,,POINT (30.7308135 46.4878041)
3369,"Пам'ятник студентам, викладачам і працівникам ОНУ, що загибли у роки війни",,,POINT (30.7310165 46.4871496)
3370,В'їздна арка у містечко Тработі,,,POINT (30.7243399 46.5594034)
3371,Пам'ятник Е. С. Андрієвському,,,POINT (30.7269845 46.5613845)
3372,Пам'ятник М. О. Семашко,,,POINT (30.7276088 46.5602267)
3373,Пам'ятник глядачу,,,POINT (30.728616 46.493162)
3374,Пам'ятник А. Е. Нудельману,Monument to Nudelman,,POINT (30.7318532 46.492078)
3375,Паротяг Эр 798-69,,,POINT (37.7446257 48.044223)
3376,Пам'ятник О. С. Попову,Monument to Alexander Popov,,POINT (30.7230696 46.4822948)
3377,Пам'ятник Стіву Джобсу,Monument to Steve Jobs,,POINT (30.7257499 46.4819119)
3378,"Апельсину, що врятував Одесу",Orange that saved Odessa,,POINT (30.7336221 46.4913111)
3379,"Cтудентам, викладачам і працівникам ОІБІ, які загинули у роки війни",,,POINT (30.7161812 46.4838067)
3380,"Студентам, викладачам і працівникам інституту зв'язку, які загинули у роки ДСВ",,,POINT (30.7229647 46.4824617)
3381,Пам'ятник Н. А. Оніловій,,,POINT (30.735728 46.4112898)
3382,Військовим юристам - захисникам Вітчизни,,,POINT (30.7501487 46.4636607)
3383,П. П. Шмідту,,,POINT (30.7602294 46.4736273)
